  Pipes     Wait Time (ms)    Bytes     Time (ms)    Bytes per Second
    1             2            500        32671            15
    1             3            500        26319            19
    1             4            500        34690            14
    1             5            500        37470            14
    1             6            500        121209            4
    1             7            500        89217            6
    1             8            500        47623            10
    1             9            500        52753            9
    1             10            500        70358            7
    2             1            500        29516            17
    2             2            500        34806            14
    2             3            500        15302            33
    2             4            500        20983            24
    2             5            500        24275            21
    2             6            500        65141            8
    2             7            500        88946            6
    2             8            500        60787            8
    2             9            500        93801            5
    2             10            500        81549            6
    3             1            500        26744            19
    3             2            500        196442            3
    3             3            500        93803            5
    3             4            500        13438            38
    3             5            500        29146            17
    3             6            500        26660            19
    3             7            500        16655            29
    3             8            500        19973            25
    3             9            500        20189            25
    3             10            500        61527            8
    4             1            500        145254            3
    4             2            500        9600            50
    4             3            500        10491            50
    4             4            500        11906            42
    4             5            500        83246            6
    4             6            500        61578            8
    4             7            500        24032            21
    4             8            500        13809            36
    4             9            500        19306            26
    4             10            500        21630            23
    5             1            500        9052            56
    5             2            500        42413            12
    5             3            500        7890            63
    5             4            500        21751            23
    5             5            500        81774            6
    5             6            500        74888            7
    5             7            500        15196            33
    5             8            500        11659            42
    5             9            500        52998            9
    5             10            500        23607            21
    10             1            500        14148            36
    10             2            500        23335            22
    10             3            500        30798            16
    10             4            500        10903            45
    10             5            500        14726            33
    10             6            500        17821            28
    10             7            500        40230            13
    10             8            500        8141            63
    10             9            500        28707            17
    10             10            500        9518            50
    16             1            500        11051            45
    16             2            500        10002            50
    16             3            500        24367            21
    16             4            500        19249            26
    16             5            500        13402            38
    16             6            500        22070            23
    16             7            500        24929            20
    16             8            500        13888            36
    16             9            500        15962            31
    16             10            500        11146            45
    1             1            1000        43478            23
    1             2            1000        48804            20
    1             3            1000        98371            10
    1             4            1000        135178            7
    1             5            1000        85563            12
    1             6            1000        74054            14
    1             7            1000        77089            13
    1             8            1000        99423            10
    1             9            1000        103909            10
    1             10            1000        107170            9
    2             1            1000        31841            31
    2             2            1000        49446            20
    2             3            1000        22065            45
    2             4            1000        53968            19
    2             5            1000        51248            20
    2             6            1000        37082            27
    2             7            1000        45659            22
    2             8            1000        71453            14
    2             9            1000        50706            20
    2             10            1000        82028            12
    3             1            1000        21285            48
    3             2            1000        34451            29
    3             3            1000        22336            45
    3             4            1000        20108            50
    3             5            1000        270508            4
    3             6            1000        23975            42
    3             7            1000        31648            31
    3             8            1000        46886            21
    3             9            1000        50002            20
    3             10            1000        41047            24
    4             1            1000        13695            71
    4             2            1000        13026            77
    4             3            1000        15705            63
    4             4            1000        16658            59
    4             5            1000        17127            59
    4             6            1000        19569            50
    4             7            1000        181080            6
    4             8            1000        28021            36
    4             9            1000        28627            34
    4             10            1000        30215            33
    5             1            1000        26815            37
    5             2            1000        42910            23
    5             3            1000        147992            7
    5             4            1000        113774            9
    5             5            1000        39255            26
    5             6            1000        107679            9
    5             7            1000        36659            27
    5             8            1000        28613            34
    5             9            1000        104942            10
    5             10            1000        48958            20
    10             1            1000        92753            11
    10             2            1000        29675            33
    10             3            1000        14199            71
    10             4            1000        10781            91
    10             5            1000        17421            59
    10             6            1000        51334            20
    10             7            1000        22891            43
    10             8            1000        27323            37
    10             9            1000        15129            67
    10             10            1000        387690            3
    16             1            1000        44510            22
    16             2            1000        39418            26
    16             3            1000        14103            71
    16             4            1000        24264            42
    16             5            1000        36645            27
    16             6            1000        20202            50
    16             7            1000        15389            67
    16             8            1000        22442            45
    16             9            1000        14636            67
    16             10            1000        13901           71
                                                                                                                                                                                                                                                                                                                        
